Document_ID,Design_Input,Risk_Assessment,Last_Reviewed,Compliance_Score,Critical_Issues
30043,A minimum source-skin-distance of less than 30 cm and not identifying the tube manufacturer on the tube housing label resulted in the SP-HF-4.0 Portable Systems not complying with the U.S. Federal performance standard.,Low,2003-10-27,62.47,0
34578,Wound dressing failed to meet sterility specifications.,Low,2004-07-08,97.04,0
41815,The packaging may be compromised such that sterility of the hoods cannot be guaranteed.,Low,2005-09-13,83.92,0
46524,"Weld defect- the weld between the post body and the screw was not properly formed and can fail, even when minimal force is used.",Low,2006-05-31,75.92,1
53825,Bio-logic System Corp Camera Pole may weaken and detach at the base of the telescoping camera pole during transport causing pole to break at the welded base and fall.,Low,2007-07-26,49.36,0
74807,"An issue associated with the ""Timed Scan"" application was found.  The system does not wait for the programmed time interval and starts the x-ray after selection of the scan button when certain criteria is met.",Low,2008-04-10,49.36,0
85486,"Failure-- product can kink or ovalize, which may result in difficulty in catheter advancement or delivery of other devices and damage to catheter, which could lead to patient injury or death as a result of portions being retained in the patient.",Low,2009-09-22,43.49,3
93646,"The FDA sent a letter to Baxter on April 30, 2010, ordering the company to recall and destroy all models of its Colleague Volumetric Infusion Pumps currently in use in the United States.  FDA determined that this action is necessary, as Baxter has failed to adequately correct, within a reasonable timeframe, the deficiencies in the Colleague pumps still in use.  This recall is a consolidation of al",Low,2010-08-04,91.97,0
97591,Distal end of tactile probe may break off during use.,Low,2011-01-20,76.07,0
111690,Synthes is initiating a Medical Device Labeling Correction following a detailed review of the current labeling in response to reported complaints.  Synthes has identified technique measures and has updated the labeling associated with this system.  The labeling reflects updated technique recommendations and emphasizes the importance of avoiding rod mis-alignment.,Low,2012-06-18,82.48,0
122158,"MAQUET has identified a potential issue with the ULTIMA OPCAB (part numbers OM-2003S & OM-2001D).  Labeling for the 2 blade lots had been incorrectly applied.  The standard blades from Lot #25052176 were incorrectly labeled as deep blades, and the 20 deep blades from Lot #25052200 were incorrectly labeled as standard blades.",Low,2013-09-20,41.24,0
129828,"During production, excess metal (aluminum) debris was found stuck to the cling plastic that covers the device's pole assembly. The metallic debris could affect system performance due to the potential for a failure to power up or loss of power. This could result in the loss of monitoring and a delay in diagnosis of the patient.",Low,2014-09-08,98.19,1
139535,The company has determined the sterility cannot be assured for the affected lot.,Low,2015-07-14,89.95,0
149395,"Terumo Cardiovascular Systems (Terumo CVS) has received complaints of the CDI System 500 monitor displaying the H/S DISCONNECT AT CUVETTE error message when the CDI H/S Cuvette does not make a proper connection to the CDI H/S Probe. In this situation, blood parameter values for HCT, Hgb, and SO2 do not display.",Low,2015-12-11,52.74,0
158631,The device had an incorrect printed calibration value on the calibration certificate.,Low,2017-08-30,50.91,0
165169,"The data in the National Joint Registry of England, Wales and Northern Ireland (NJREWNI) and Australian Orthopaedic Association National Joint Replacement Registry (AOANJRR) indicate that the first generation JOURNEY BCS Knee System has a revision rate over 1.5 times the primary total knee arthroplasty device class average revision rates reported in those registries.",,2018-06-13,51.0,0
175552,Potential for leaking product,,2018-09-21,58.25,0
183095,The device staples may not properly form upon application preventing adequate hemostasis.  Use of a product with this assembly error may result in incomplete staple formation.,,2020-08-12,71.49,0
189418,"RAPTAR units are capable of being field modified to enable the use of the higher
power visible and IR laser pointers and the IR Illuminator.",,2021-04-21,65.92,0
195700,"Distribution of COVID-19 Ag Rapid Test kits in the U.S. without an Emergency Use Authorization, or a Pre-Market Approval or Clearance.",,2022-08-09,57.47,0
203280,This recall has been initiated due to reports that the product code and product name were incorrectly listed on the lidstock of affected kits.,,2023-08-10,76.71,0
209491,"Insulin pumps that have been dropped, bumped, or experienced physical impact may have damage to internal electrical components, which may cause reduced pump battery life. Since the defect reduces the battery life overall, it shortens the time between low battery alarms and increases the frequency with which the user must insert a new battery. Further, the defect may also deliver the low battery alarm when there is significantly less time before the battery completely runs out, from the expected up to 10-hour buffer the low alert is supposed to signal, leading to device powering down and stopping insulin delivery unexpectedly. Per the firm, a subset of pumps with the defect showed the low alert alarm was delivered ~2.5 hours before the device shut off, however, patient reports indicate the time could be even shorter. Replacing the battery will not resolve this issue and the short battery life and the truncated low battery alert lead time will continue to occur. Early battery depletion could result in power loss and insulin delivery could be interrupted, resulting in under delivery of insulin potentially leading to hyperglycemia and/or DKA.",,2024-07-31,48.37,1
29801,Product intended for distribution outside USA was distributed without premarket notification requirements being met.,Low,2003-08-20,57.53,0
34618,Device can generate overestimated platelet results.,Low,2004-08-13,61.98,0
42122,The packaging may be compromised such that sterility of the hoods cannot be guaranteed.,Low,2005-09-13,67.36,0
46588,Final software load did not occur prior to shipment of select programmers.,Low,2006-05-19,87.11,0
53495,Pressure (from recapped tubes) or vacuum (from under-filled short-draw tubes) will cause inaccurate results if not properly vented.,Low,2007-02-22,51.98,0
84800,"GE Healthcare has recently become aware of a potential risk of observing a blank image after exposure on
Revolution XR/d systems equipped with HP 8200 PC user consoles that may impact patient safety.

It was reported that images acquired with off-center collimation for extremities with the
position selected as Digits to front or Digits to back are displayed as blank. Investigation into
th",Low,2008-02-14,70.85,0
84106,Several complaints were the two parts of the tubular package became loose under the shrink wrap that holds the DFU on the packaging tube.,Low,2009-06-22,75.54,0
93647,"The FDA sent a letter to Baxter on April 30, 2010, ordering the company to recall and destroy all models of its Colleague Volumetric Infusion Pumps currently in use in the United States.  FDA determined that this action is necessary, as Baxter has failed to adequately correct, within a reasonable timeframe, the deficiencies in the Colleague pumps still in use.  This recall is a consolidation of al",Low,2010-08-04,42.79,0
97818,Distal end of tactile probe may break off during use.,Low,2011-01-20,76.45,0
112657,The recall was initiated because Beckman Coulter has confirmed that the Coulter PrepPlus may experience intermittant reagent level sense failures where the instrument may not produce a warning that a reagent vial is low or out of reagent.,Low,2012-01-20,50.23,1
121688,"On December 13, 2012, King Systems initiated a voluntary recall of one (1) case(s) (5) individual products) from one (1) lot [(IV1V3) 62 cases, 310 products]of King LTSD Oropharyngeal Airways because the package label indicated that the airway was a size 5 when in fact the airway in the package was a size 4. When King manufacturers a lot, all of the components are the same size, part number etc. I",Low,0012-12-13,43.9,0
130113,"Two malfunctions posing potential risk to patients were identified with Siemens Ysio Max, AXIOM Luminos dRF Max, Uroskop Omnia Max, and Luminos Agile Max systems with a specific set of serial numbers that will cause lost images due to an automatic Radiology Information System (RIS) worklist update, thus causing examinations to be repeated. Image label may also be displayed incorrectly after images",Low,2014-09-02,96.93,0
140077,Image disappeared from the cardiac ultrasound system when the CARTO 3 EP Navigation System needed restarting while the patient was experiencing pericardial effusion.  Affects the CARTOSOUND Module of the CARTO 3 EP Navigation System when used with the SOUNDSTAR eco 8F and 10F Diagnostic Ultrasound Catheters. New precautions added.,Low,2015-09-10,97.94,0
149424,"Merit Medical Systems, Inc. announces a voluntary field action for Merit Inflation Syring Kit due to unit labels missing required device labeling information.",Low,2016-08-25,88.5,0
158557,The high control for the kit is recovering low and may be out of range for assigned values.,Low,2017-08-23,58.28,0
165170,"The data in the National Joint Registry of England, Wales and Northern Ireland (NJREWNI) and Australian Orthopaedic Association National Joint Replacement Registry (AOANJRR) indicate that the first generation JOURNEY BCS Knee System has a revision rate over 1.5 times the primary total knee arthroplasty device class average revision rates reported in those registries.",,2018-06-13,45.86,0
176398,Potential for leaking product,,2018-09-21,81.05,0
183096,The device staples may not properly form upon application preventing adequate hemostasis.  Use of a product with this assembly error may result in incomplete staple formation.,,2020-08-12,66.41,0
188744,Potential for needle protector to become fully dislodge exposing infusion needle which could result in needle stick.,,2021-07-27,47.32,0
196036,"The display screen may become frozen and unresponsive to user input, triggering an alarm that is evidenced by a buzzer sound and flashing red LEDs as a secondary notification. However, as the screen goes blank it does not indicate an alarm condition or respond. This issue leads to temporary cessation of flow of a medication or fluid, requiring immediate intervention by the clinician.",Low,2022-09-08,69.71,0
203281,This recall has been initiated due to reports that the product code and product name were incorrectly listed on the lidstock of affected kits.,,2023-08-10,42.06,0
209613,"Insulin pumps that have been dropped, bumped, or experienced physical impact may have damage to internal electrical components, which may cause reduced pump battery life. Since the defect reduces the battery life overall, it shortens the time between low battery alarms and increases the frequency with which the user must insert a new battery. Further, the defect may also deliver the low battery alarm when there is significantly less time before the battery completely runs out, from the expected up to 10-hour buffer the low alert is supposed to signal, leading to device powering down and stopping insulin delivery unexpectedly. Per the firm, a subset of pumps with the defect showed the low alert alarm was delivered ~2.5 hours before the device shut off, however, patient reports indicate the time could be even shorter. Replacing the battery will not resolve this issue and the short battery life and the truncated low battery alert lead time will continue to occur. Early battery depletion could result in power loss and insulin delivery could be interrupted, resulting in under delivery of insulin potentially leading to hyperglycemia and/or DKA.",,2024-07-31,94.56,1
26623,The correct individual insulin syringe labeling size and guage may be different than what is on the incorrectly labeled shelf box .,Low,2003-02-24,55.53,0
34628,Device can generate overestimated platelet results.,Low,2004-08-13,79.75,0
